idfactoid,idimplantation,usual_name,caracteristique,caracNew,modAgreg,modalite,fklinked_implantation,linked_implantation_name,date_start_min,date_start_max,date_stop_min,date_stop_max,lat,lng,location_granularity,Diocese,date_startC,date_stopC,DureeFact
3915,575,Tart (1),Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,47.183505,5.242486,approximative,Langres,1202,1202,0
3916,886,Le Réconfort,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Consuetudines Cestrenses,NA,NA,1134,1134,1134,1134,47.345244,3.671019,precise,Autun,1134,1134,0
3917,99,Cluny,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Coutumier d'Ulrich,NA,NA,1187,1187,1187,1187,46.434817,4.6595554,precise,Mâcon,1187,1187,0
3918,99,Cluny,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Bernardi Consuetudines Cluniacenses,NA,NA,NA,NA,NA,NA,46.434817,4.6595554,precise,Mâcon,NA,NA,NA
3919,99,Cluny,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Liber tramitis,NA,NA,1130,1130,1130,1130,46.434817,4.6595554,precise,Mâcon,1130,1130,0
3920,392,Saint-Benoît-en-Woëvre,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,48.9879248,5.7851024,precise,Metz,1202,1202,0
3921,311,Châtillon-en-Woëvre,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,49.3820471,5.5855912,precise,Verdun,1202,1202,0
3922,1061,Basseville,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Consuetudines cartusiae,NA,NA,1080,1080,1080,1080,47.496731,3.514731,precise,Auxerre,1080,1080,0
3923,1063,Bellary,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Consuetudines cartusiae,NA,NA,1080,1080,1080,1080,47.293242,3.145327,precise,Auxerre,1080,1080,0
3924,1037,Chaumousey,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Liber ordinis Sancti Ruffi,NA,NA,NA,NA,NA,NA,48.16,6.34,precise,Toul,NA,NA,NA
3925,1070,Vandeléville,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Liber ordinis Sancti Ruffi,NA,NA,NA,NA,NA,NA,48.424993,5.991558,approximative,Toul,NA,NA,NA
3926,1071,Boulaincourt,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Liber ordinis Sancti Ruffi,NA,NA,NA,NA,NA,NA,48.372204,6.086978,approximative,Toul,NA,NA,NA
3927,1075,Notre-Dame-de-Bondeville,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,49.4933814,1.0461117,precise,Rouen,1202,1202,0
3928,494,Beaulieu 2,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,47.8256391,5.5689126,precise,Langres,1202,1202,0
3929,1137,Bellecombe 2,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,45.100225,4.159833,precise,Le Puy,1202,1202,0
3930,99,Cluny,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Consuetudines Cluniacenses antiquiores A,NA,NA,NA,NA,NA,NA,46.434817,4.6595554,precise,Mâcon,NA,NA,NA
3931,99,Cluny,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Consuetudines Cluniacenses antiquiores B,NA,NA,1115,1115,1115,1115,46.434817,4.6595554,precise,Mâcon,1115,1115,0
3932,1185,Clavas,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,45.222002,4.469385,precise,Le Puy,1202,1202,0
3933,1186,La Séauve-Bénite,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,45.293809,4.249712,precise,Le Puy,1202,1202,0
3934,526,Morofroid (Beaulieu 1),Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,47.844891,5.533525,precise,Langres,1202,1202,0
3935,579,Reigny 1 (Fontemoy),Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,47.6185018,3.8363684,precise,Autun,1202,1202,0
3936,1519,Aulps,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Ecclesiastica Officia cisterciens,NA,NA,1202,1202,1202,1202,46.241926,6.6499592,precise,Genève,1202,1202,0
3937,1540,Bellevaux,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Consuetudines Cestrenses,NA,NA,1134,1134,1134,1134,47.413055,6.132381,commune,Besançon,1134,1134,0
3938,1543,Cherlieu,Familles religieuses - Observance - Coutumiers,Observance,Coutumiers,Consuetudines Cestrenses,NA,NA,1134,1134,1134,1134,47.781088,5.82421,precise,Besançon,1134,1134,0
3939,62,Châtillon-en-Bazois,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,47.0526072,3.6552742,precise,Nevers,1791,1791,0
3940,40,Saint-Martin-de-Miséré,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,45.225572,5.8113174,precise,Grenoble,1791,1791,0
3941,99,Cluny,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1790,1790,1790,1790,46.434817,4.6595554,precise,Mâcon,1790,1790,0
3942,5,"Auxerre, Saint-Germain",Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1629,1629,1629,1629,47.8003677,3.5732151,precise,Auxerre,1629,1629,0
3943,12,"Paris, Sainte-Geneviève (2)",Institutions - Événements,Événements,Disparition,Disparition - Destruction,NA,NA,1790,1790,1807,1807,48.8462219,2.3459145,precise,Paris,1790,1807,17
3944,18,"Paris, Saint-Germain-des-Prés",Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1631,1631,1631,1631,48.8539276,2.3345335,precise,Paris,1631,1631,0
3945,18,"Paris, Saint-Germain-des-Prés",Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1026,1026,1026,1026,48.8539276,2.3345335,precise,Paris,1026,1026,0
3946,20,Bouxières-aux-dames,Institutions - Événements,Événements,Disparition,Disparition - Changement de site,NA,NA,1787,1787,1787,1787,48.7558669,6.1643766,precise,Toul,1787,1787,0
3947,319,Droiteval,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1790,1790,1790,1790,48.032486,6.044124,approximative,Toul,1790,1790,0
3948,23,Pontigny,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,47.9094745,3.7146848,precise,Auxerre,1791,1791,0
3950,27,"Le Troclar, Lagrave",Institutions - Événements,Événements,Disparition,Disparition - Destruction,NA,NA,1793,1793,1793,1793,43.903014400000004,1.9877691,precise,Albi,1793,1793,0
3951,27,"Le Troclar, Lagrave",Institutions - Événements,Événements,Refondation,Refondation,NA,NA,1062,1062,1062,1062,43.903014400000004,1.9877691,precise,Albi,1062,1062,0
3952,28,Saint-Savin-de-Lavedan,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1790,1790,1790,1790,42.9814767,-0.0909642,precise,Tarbes,1790,1790,0
3953,28,Saint-Savin-de-Lavedan,Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1623,1623,1623,1623,42.9814767,-0.0909642,precise,Tarbes,1623,1623,0
3954,28,Saint-Savin-de-Lavedan,Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1080,1080,1080,1080,42.9814767,-0.0909642,precise,Tarbes,1080,1080,0
3955,32,Moustier-Ventadour,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,45.395026,2.1049546,precise,Limoges,1791,1791,0
3956,36,Lascroux,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1792,1792,1792,1792,46.2165104,1.6969191,precise,Limoges,1792,1792,0
3957,38,"Avignon, Saint-Ruf",Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1774,1774,1774,1774,43.9328002,4.8129309,precise,Avignon,1774,1774,0
3958,5,"Auxerre, Saint-Germain",Institutions - Événements,Événements,Réforme,Réforme,NA,NA,985,985,989,989,47.8003677,3.5732151,precise,Auxerre,985,989,4
3959,43,Champ,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,45.2795813,5.9401229,precise,Grenoble,1791,1791,0
3960,47,"Lans, Notre-Dame",Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,45.1279494,5.5895279,precise,Grenoble,1791,1791,0
3961,48,Saint-Pierre d'Entremont,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1790,1790,1790,1790,45.385477,5.851497,precise,Grenoble,1790,1790,0
3962,50,Champagnier,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,45.1071557,5.7300215,precise,Grenoble,1791,1791,0
3963,52,Corenc,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,45.2193699,5.7624378,precise,Grenoble,1791,1791,0
3964,51,Villard-Benoît,Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1588,1588,1588,1588,45.4387335,6.0307384,precise,Grenoble,1588,1588,0
3965,55,Moutiers,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1793,1793,1793,1793,47.6107183,3.1757535,precise,Auxerre,1793,1793,0
3966,56,Cessy,Institutions - Événements,Événements,Disparition,Disparition - Disparition (causes non précisées),NA,NA,1731,1731,1731,1731,47.336076,3.2057268,precise,Auxerre,1731,1731,0
3967,57,Saint-Léger-de-Champeaux,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1795,1795,1795,1795,47.3130705,5.3646162,precise,Langres,1795,1795,0
3968,58,"Decize, Saint-Pierre",Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,46.8285243,3.4634038,precise,Nevers,1791,1791,0
3969,61,Griselles,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1797,1797,47.8657558,4.3506094,precise,Langres,1791,1797,6
3970,63,Saint-Florentin,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,47.9987787,3.728584,precise,Sens,1791,1791,0
3971,67,Pesmes,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,47.2787436,5.5664995,precise,Besançon,1791,1791,0
3972,73,Mazille,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1796,1796,46.917962,3.710147,approximative,Nevers,1791,1796,5
3973,34,Bort-les-Orgues,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,45.3998886,2.4957135,precise,Limoges,1791,1791,0
3974,82,Notre-Dame de Luxembourg (Münster Alt- Neu-),Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1659,1659,1659,1659,49.6104924,6.13652,precise,Trèves,1659,1659,0
3975,82,Notre-Dame de Luxembourg (Münster Alt- Neu-),Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1510,1510,1510,1510,49.6104924,6.13652,precise,Trèves,1510,1510,0
3976,82,Notre-Dame de Luxembourg (Münster Alt- Neu-),Institutions - Événements,Événements,Refondation,Refondation,NA,NA,1123,1123,1123,1123,49.6104924,6.13652,precise,Trèves,1123,1123,0
3977,35,Fleurat,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1792,1792,1792,1792,46.2403232,1.6785512,precise,Limoges,1792,1792,0
3978,1106,"Sommières-du-Clain, Bernay (d. Charroux)",Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,46.276818,0.373778,approximative,Poitiers,1791,1791,0
3979,89,Bleurville,Institutions - Événements,Événements,Disparition,Disparition - Disparition (causes non précisées),NA,NA,1790,1790,1790,1790,48.0616883,5.9638922,precise,Toul,1790,1790,0
3980,90,Amel,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1572,1572,1572,1572,49.257222,5.646871,approximative,Verdun,1572,1572,0
3981,101,Saint-Rémy de Lunéville,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1790,1790,1790,1790,48.5921215,6.492048,precise,Toul,1790,1790,0
3982,112,Vergaville,Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1488,1488,1488,1488,48.841195,6.745805,approximative,Metz,1488,1488,0
3983,115,"Châtillon-sur-Seine, Notre-Dame",Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1789,1789,1791,1791,47.8634278,4.5755111,precise,Langres,1789,1791,2
3984,117,Bonvaux,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1790,1790,1790,1790,47.3537375,4.9711753,precise,Langres,1790,1790,0
3985,500,Cherrey,Institutions - Événements,Événements,Disparition,Disparition - Destruction,NA,NA,1770,1770,1770,1770,47.7943149,5.3142555,precise,Langres,1770,1770,0
3986,753,Buxereuilles,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1476,1476,1476,1476,48.126104,5.1355571,precise,Langres,1476,1476,0
3987,120,La Crête,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,48.176012,5.338977,approximative,Langres,1791,1791,0
3988,17,"Valence, Saint-Ruf",Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1773,1773,1773,1773,44.9279688,4.8835214,precise,Valence,1773,1773,0
3989,124,Notre-Dame de l'Isle-sous-Vienne,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1763,1763,1763,1763,45.5039216,4.848888,precise,Vienne,1763,1763,0
3991,77,"Autun, Saint-Andoche",Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1792,1792,1792,1792,46.9494694,4.294905,precise,Autun,1792,1792,0
3992,77,"Autun, Saint-Andoche",Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1642,1642,1642,1642,46.9494694,4.294905,precise,Autun,1642,1642,0
3993,77,"Autun, Saint-Andoche",Institutions - Événements,Événements,Refondation,Refondation,NA,NA,750,750,750,750,46.9494694,4.294905,precise,Autun,750,750,0
3994,107,"Autun, Saint-Jean-le-Grand",Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1792,1792,1792,1792,46.9583581,4.30046,precise,Autun,1792,1792,0
3995,107,"Autun, Saint-Jean-le-Grand",Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1645,1645,1645,1645,46.9583581,4.30046,precise,Autun,1645,1645,0
3996,113,"Autun, Saint-Martin",Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1793,1793,1793,1793,46.946461,4.310907,approximative,Autun,1793,1793,0
3997,107,"Autun, Saint-Jean-le-Grand",Institutions - Événements,Événements,Refondation,Refondation,NA,NA,990,990,990,990,46.9583581,4.30046,precise,Autun,990,990,0
3998,127,Rimondeix,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1792,1792,1792,1792,46.2285235,2.1014799,precise,Limoges,1792,1792,0
3999,134,L'Argentière,Institutions - Événements,Événements,Disparition,Disparition - Destruction,NA,NA,1684,1684,1684,1684,46.165389,1.148426,approximative,Limoges,1684,1684,0
4000,110,Saint-Georges-des-Bois,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1343,1343,1343,1343,46.946461,4.310907,approximative,Autun,1343,1343,0
4001,111,Pierre-Cervau,Institutions - Événements,Événements,Disparition,Disparition - Disparition (causes non précisées),NA,NA,1273,1273,1273,1273,46.946461,4.310907,approximative,Autun,1273,1273,0
4003,153,Val-Saint-Benoît,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1705,1705,1705,1705,46.9691459,4.4654959,precise,Autun,1705,1705,0
4004,154,Colonne,Institutions - Événements,Événements,Disparition,Disparition - Disparition (causes non précisées),NA,NA,1412,1412,1412,1412,46.87868,5.571181,approximative,Besançon,1412,1412,0
4005,156,Saint-Parize-en-Viry,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1310,1310,1310,1310,46.753629,3.366393,approximative,Nevers,1310,1310,0
4006,158,Lancharre 2,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1792,1792,1792,1792,46.7802519,4.853892,precise,Chalon,1792,1792,0
4007,159,Champchanoux 2,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1775,1775,1775,1775,46.6933644,4.1362562,approximative,Autun,1775,1775,0
4008,108,Champchanoux 1,Institutions - Événements,Événements,Disparition,Disparition - Changement de site,NA,NA,1686,1686,1686,1686,46.730172,4.219458,approximative,Autun,1686,1686,0
4009,160,Le Puley,Institutions - Événements,Événements,Disparition,Disparition - Changement de site,NA,NA,1615,1615,1615,1615,46.67955,4.564796,precise,Chalon,1615,1615,0
4010,161,La Chaux,Institutions - Événements,Événements,Refondation,Refondation,NA,NA,1704,1704,1704,1704,46.571182,4.985622,precise,Chalon,1704,1704,0
4011,108,Champchanoux 1,Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1673,1673,1686,1686,46.730172,4.219458,approximative,Autun,1673,1686,13
4012,109,Saint-Julien-sur-Dheune,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1673,1673,1673,1673,46.772716,4.547775,approximative,Autun,1673,1673,0
4014,168,Puy-Saint-Jean,Institutions - Événements,Événements,Disparition,Disparition - Destruction,NA,NA,1562,1562,1598,1598,46.3011812,1.2089711,precise,Limoges,1562,1598,36
4016,172,Banassat,Institutions - Événements,Événements,Disparition,Disparition - Destruction,NA,NA,1405,1405,1405,1405,46.202405,1.82814,approximative,Limoges,1405,1405,0
4017,169,Fontevraud,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1793,1793,1793,1793,47.1813977,0.0523772,precise,Poitiers,1793,1793,0
4018,173,Pont-Cholet,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1791,1791,1791,1791,45.5949381,1.5020689,precise,Limoges,1791,1791,0
4019,184,Avenas,Institutions - Événements,Événements,Disparition,Disparition - Destruction,NA,NA,878,878,962,962,46.195869,4.600141,approximative,Mâcon,878,962,84
4021,187,Baumgarten,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1520,1520,1520,1520,48.363701,7.404875,precise,Strasbourg,1520,1520,0
4022,194,Valette,Institutions - Événements,Événements,Refondation,Refondation,NA,NA,1145,1145,1145,1145,45.2264925,2.1673733,precise,Limoges,1145,1145,0
4023,85,Altorf,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1791,1791,1791,1791,48.523128,7.5307202,precise,Strasbourg,1791,1791,0
4024,949,Villy-le-Moutier,Institutions - Événements,Événements,Disparition,Disparition - Disparition (causes non précisées),NA,NA,1501,1501,1600,1600,47.036956000000004,4.9941819,precise,Autun,1501,1600,99
4025,121,Saint-Martial de Limoges,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1535,1535,1535,1535,45.831207,1.2598081,precise,Limoges,1535,1535,0
4026,121,Saint-Martial de Limoges,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,45.831207,1.2598081,precise,Limoges,1791,1791,0
4027,247,Arcs,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1747,1747,1747,1747,46.1461923,1.4589392,precise,Limoges,1747,1747,0
4028,247,Arcs,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1535,1535,1535,1535,46.1461923,1.4589392,precise,Limoges,1535,1535,0
4029,249,prieuré de la Gasconnière,Institutions - Événements,Événements,Disparition,Disparition - Disparition (causes non précisées),NA,NA,1790,1790,1790,1790,45.7530577,-0.2387928,precise,Saintes,1790,1790,0
4030,253,"Bénévent, Saint-Barthélémy",Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1790,1790,1790,1790,46.1194124,1.6295232,precise,Limoges,1790,1790,0
4031,248,Arnac,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1535,1535,1535,1535,45.4102967,1.3698624,precise,Limoges,1535,1535,0
4032,24,Clairvaux 1,Institutions - Événements,Événements,Disparition,Disparition - Changement de site,NA,NA,1135,1135,1135,1135,48.1453729,4.7834801,precise,Langres,1135,1135,0
4033,266,Chambon-sur-Voueize,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1535,1535,1535,1535,46.189167,2.4264244,precise,Limoges,1535,1535,0
4034,285,Clairavaux,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1282,1282,1282,1282,45.7826903,2.1669621,precise,Limoges,1282,1282,0
4035,273,Petit Saint-Morand,Institutions - Événements,Événements,Disparition,Disparition - Destruction,NA,NA,1759,1759,1759,1759,48.206316,7.286719,commune,Bâle,1759,1759,0
4036,271,Mirembelberg,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1469,1469,1469,1469,48.894162,8.105566,approximative,Bâle,1469,1469,0
4037,300,Antoing,Institutions - Événements,Événements,Disparition,Disparition - Destruction,NA,NA,1796,1796,1796,1796,50.5672729,3.4513915,precise,Cambrai,1796,1796,0
4038,460,Beaupré,Institutions - Événements,Événements,Disparition,Disparition - Disparition (causes non précisées),NA,NA,1751,1751,1751,1751,48.5536281,6.5327275,precise,Toul,1751,1751,0
4040,315,Condé-sur-l'Escaut,Institutions - Événements,Événements,Disparition,Disparition - Destruction,NA,NA,1792,1792,1792,1792,50.4493273,3.5917628,precise,Cambrai,1792,1792,0
4042,332,Hautmont,Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1015,1015,1015,1015,50.2512562,3.919614,precise,Cambrai,1015,1015,0
4043,340,Kerling-les-Sierck,Institutions - Événements,Événements,Disparition,Disparition - Disparition (causes non précisées),NA,NA,1400,1400,1500,1500,49.298852,6.540755,commune,Trèves,1400,1500,100
4044,344,Leuze,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1797,1797,1797,1797,50.6006118,3.6224713,precise,Cambrai,1797,1797,0
4045,1034,Montfaucon,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1790,1790,1790,1790,49.2732383,5.1413937,precise,Reims,1790,1790,0
4047,587,"Metz, Saint-Arnoul (2)",Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1619,1619,1619,1619,49.1184402,6.1712032,precise,Metz,1619,1619,0
4048,403,Saint-Ghislain,Institutions - Événements,Événements,Refondation,Refondation,NA,NA,925,925,926,926,NA,NA,NA,Cambrai,925,926,1
4049,1169,Sains-lès-Marquion,Institutions - Événements,Événements,Disparition,Disparition - Disparition (causes non précisées),NA,NA,1024,1024,1025,1025,50.184706,3.078998,commune,Cambrai,1024,1025,1
4050,441,Varennes,Institutions - Événements,Événements,Refondation,Refondation,NA,NA,1080,1080,1084,1084,47.8966259,5.6226723,precise,Langres,1080,1084,4
4051,4,Le Saint-Mont,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1790,1790,1790,1790,48.0289769,6.6344185,precise,Toul,1790,1790,0
4052,21,Saint-Pierre-les-Dames (Remiremont),Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1790,1790,1790,1790,48.0156333,6.5911223,precise,Toul,1790,1790,0
4053,459,Beaupré,Institutions - Événements,Événements,Sécularisation,Sécularisation,NA,NA,1791,1791,1791,1791,49.5635788,1.9641806,precise,Beauvais,1791,1791,0
4054,460,Beaupré,Institutions - Événements,Événements,Réforme,Réforme,NA,NA,1709,1709,1709,1709,48.5536281,6.5327275,precise,Toul,1709,1709,0
4055,458,"Grenoble, Saint-Laurent",Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,45.1976896,5.7313327,precise,Grenoble,1791,1791,0
4056,463,Bernin,Institutions - Événements,Événements,Disparition,Disparition - Dissolution,NA,NA,1791,1791,1791,1791,45.2609631,5.8641636,precise,Grenoble,1791,1791,0
